construct;type;name;description
http://www.w3.org/2002/07/owl#SymmetricProperty;http://www.w3.org/2000/01/rdf-schema#Class;SymmetricProperty;The class of symmetric properties.
http://www.w3.org/2002/07/owl#TransitiveProperty;http://www.w3.org/2000/01/rdf-schema#Class;TransitiveProperty;The class of transitive properties.
http://www.w3.org/2002/07/owl#Class;http://www.w3.org/2000/01/rdf-schema#Class;Class;The class of OWL classes.
http://www.w3.org/2002/07/owl#ObjectProperty;http://www.w3.org/2000/01/rdf-schema#Class;ObjectProperty;The class of object properties.
http://www.w3.org/2002/07/owl#DatatypeProperty;http://www.w3.org/2000/01/rdf-schema#Class;DatatypeProperty;The class of data properties.
http://www.w3.org/2002/07/owl#FunctionalProperty;http://www.w3.org/2000/01/rdf-schema#Class;FunctionalProperty;The class of functional properties.
http://www.w3.org/2002/07/owl#Ontology;http://www.w3.org/2000/01/rdf-schema#Class;Ontology;The class of ontologies.
http://www.w3.org/2002/07/owl#AnnotationProperty;http://www.w3.org/2000/01/rdf-schema#Class;AnnotationProperty;The class of annotation properties.
http://www.w3.org/2002/07/owl#InverseFunctionalProperty;http://www.w3.org/2000/01/rdf-schema#Class;InverseFunctionalProperty;The class of inverse-functional properties.
http://www.w3.org/2002/07/owl#NamedIndividual;http://www.w3.org/2000/01/rdf-schema#Class;NamedIndividual;The class of named individuals.
http://www.w3.org/2002/07/owl#Restriction;http://www.w3.org/2000/01/rdf-schema#Class;Restriction;The class of property restrictions.
http://www.w3.org/2002/07/owl#Thing;http://www.w3.org/2000/01/rdf-schema#Class;Thing;The class of OWL individuals.
http://www.w3.org/2002/07/owl#AllDifferent;http://www.w3.org/2000/01/rdf-schema#Class;AllDifferent;The class of collections of pairwise different individuals.
http://www.w3.org/2002/07/owl#AllDisjointClasses;http://www.w3.org/2000/01/rdf-schema#Class;AllDisjointClasses;The class of collections of pairwise disjoint classes.
http://www.w3.org/2002/07/owl#AllDisjointProperties;http://www.w3.org/2000/01/rdf-schema#Class;AllDisjointProperties;The class of collections of pairwise disjoint properties.
http://www.w3.org/2002/07/owl#Annotation;http://www.w3.org/2000/01/rdf-schema#Class;Annotation;The class of annotated annotations for which the RDF serialization consists of an annotated subject, predicate and object.
http://www.w3.org/2002/07/owl#AsymmetricProperty;http://www.w3.org/2000/01/rdf-schema#Class;AsymmetricProperty;The class of asymmetric properties.
http://www.w3.org/2002/07/owl#Axiom;http://www.w3.org/2000/01/rdf-schema#Class;Axiom;The class of annotated axioms for which the RDF serialization consists of an annotated subject, predicate and object.
http://www.w3.org/2002/07/owl#DataRange;http://www.w3.org/2000/01/rdf-schema#Class;DataRange;The class of OWL data ranges, which are special kinds of datatypes. Note: The use of the IRI owl:DataRange has been deprecated as of OWL 2. The IRI rdfs:Datatype SHOULD be used instead.
http://www.w3.org/2002/07/owl#DeprecatedClass;http://www.w3.org/2000/01/rdf-schema#Class;DeprecatedClass;The class of deprecated classes.
http://www.w3.org/2002/07/owl#DeprecatedProperty;http://www.w3.org/2000/01/rdf-schema#Class;DeprecatedProperty;The class of deprecated properties.
http://www.w3.org/2002/07/owl#IrreflexiveProperty;http://www.w3.org/2000/01/rdf-schema#Class;IrreflexiveProperty;The class of irreflexive properties.
http://www.w3.org/2002/07/owl#NegativePropertyAssertion;http://www.w3.org/2000/01/rdf-schema#Class;NegativePropertyAssertion;The class of negative property assertions.
http://www.w3.org/2002/07/owl#Nothing;http://www.w3.org/2000/01/rdf-schema#Class;Nothing;This is the empty class.
http://www.w3.org/2002/07/owl#OntologyProperty;http://www.w3.org/2000/01/rdf-schema#Class;OntologyProperty;The class of ontology properties.
http://www.w3.org/2002/07/owl#ReflexiveProperty;http://www.w3.org/2000/01/rdf-schema#Class;ReflexiveProperty;The class of reflexive properties.
http://www.w3.org/2002/07/owl#sameAs;http://www.w3.org/1999/02/22-rdf-syntax-ns#Property;sameAs;The property that determines that two given individuals are equal.
http://www.w3.org/2002/07/owl#equivalentProperty;http://www.w3.org/1999/02/22-rdf-syntax-ns#Property;equivalentProperty;The property that determines that two given properties are equivalent.
http://www.w3.org/2002/07/owl#equivalentClass;http://www.w3.org/1999/02/22-rdf-syntax-ns#Property;equivalentClass;The property that determines that two given classes are equivalent, and that is used to specify datatype definitions.
http://www.w3.org/2002/07/owl#inverseOf;http://www.w3.org/1999/02/22-rdf-syntax-ns#Property;inverseOf;The property that determines that two given properties are inverse.
http://www.w3.org/2002/07/owl#differentFrom;http://www.w3.org/1999/02/22-rdf-syntax-ns#Property;differentFrom;The property that determines that two given individuals are different.
http://www.w3.org/2002/07/owl#cardinality;http://www.w3.org/1999/02/22-rdf-syntax-ns#Property;cardinality;The property that determines the cardinality of an exact cardinality restriction.
http://www.w3.org/2002/07/owl#topDataProperty;http://www.w3.org/1999/02/22-rdf-syntax-ns#Property;topDataProperty;The data property that relates every individual to every data value.
http://www.w3.org/2002/07/owl#imports;http://www.w3.org/1999/02/22-rdf-syntax-ns#Property;imports;The property that is used for importing other ontologies into a given ontology.
http://www.w3.org/2002/07/owl#versionInfo;http://www.w3.org/1999/02/22-rdf-syntax-ns#Property;versionInfo;The annotation property that provides version information for an ontology or another OWL construct.
http://www.w3.org/2002/07/owl#propertyChainAxiom;http://www.w3.org/1999/02/22-rdf-syntax-ns#Property;propertyChainAxiom;The property that determines the n-tuple of properties that build a sub property chain of a given property.
http://www.w3.org/2002/07/owl#deprecated;http://www.w3.org/1999/02/22-rdf-syntax-ns#Property;deprecated;The annotation property that indicates that a given entity has been deprecated.
http://www.w3.org/2002/07/owl#onProperty;http://www.w3.org/1999/02/22-rdf-syntax-ns#Property;onProperty;The property that determines the property that a property restriction refers to.
http://www.w3.org/2002/07/owl#allValuesFrom;http://www.w3.org/1999/02/22-rdf-syntax-ns#Property;allValuesFrom;The property that determines the class that a universal property restriction refers to.
http://www.w3.org/2002/07/owl#someValuesFrom;http://www.w3.org/1999/02/22-rdf-syntax-ns#Property;someValuesFrom;The property that determines the class that an existential property restriction refers to.
http://www.w3.org/2002/07/owl#maxQualifiedCardinality;http://www.w3.org/1999/02/22-rdf-syntax-ns#Property;maxQualifiedCardinality;The property that determines the cardinality of a maximum qualified cardinality restriction.
http://www.w3.org/2002/07/owl#complementOf;http://www.w3.org/1999/02/22-rdf-syntax-ns#Property;complementOf;The property that determines that a given class is the complement of another class.
http://www.w3.org/2002/07/owl#intersectionOf;http://www.w3.org/1999/02/22-rdf-syntax-ns#Property;intersectionOf;The property that determines the collection of classes or data ranges that build an intersection.
