construct;type;name;description
http://www.w3.org/2000/01/rdf-schema#Class;http://www.w3.org/2000/01/rdf-schema#Class;Class;The class of classes.
http://www.w3.org/2000/01/rdf-schema#Resource;http://www.w3.org/2000/01/rdf-schema#Class;Resource;The class resource, everything.
http://www.w3.org/2000/01/rdf-schema#Literal;http://www.w3.org/2000/01/rdf-schema#Class;Literal;The class of literal values, eg. textual strings and integers.
http://www.w3.org/2000/01/rdf-schema#Container;http://www.w3.org/2000/01/rdf-schema#Class;Container;The class of RDF containers.
http://www.w3.org/2000/01/rdf-schema#ContainerMembershipProperty;http://www.w3.org/2000/01/rdf-schema#Class;ContainerMembershipProperty;"The class of container membership properties, rdf:_1, rdf:_2, ...,
                    all of which are sub-properties of 'member'."
http://www.w3.org/2000/01/rdf-schema#Datatype;http://www.w3.org/2000/01/rdf-schema#Class;Datatype;The class of RDF datatypes.
http://www.w3.org/2000/01/rdf-schema#subPropertyOf;http://www.w3.org/1999/02/22-rdf-syntax-ns#Property;subPropertyOf;The subject is a subproperty of a property.
http://www.w3.org/2000/01/rdf-schema#subClassOf;http://www.w3.org/1999/02/22-rdf-syntax-ns#Property;subClassOf;The subject is a subclass of a class.
http://www.w3.org/2000/01/rdf-schema#domain;http://www.w3.org/1999/02/22-rdf-syntax-ns#Property;domain;A domain of the subject property.
http://www.w3.org/2000/01/rdf-schema#range;http://www.w3.org/1999/02/22-rdf-syntax-ns#Property;range;A range of the subject property.
http://www.w3.org/2000/01/rdf-schema#comment;http://www.w3.org/1999/02/22-rdf-syntax-ns#Property;comment;A description of the subject resource.
http://www.w3.org/2000/01/rdf-schema#label;http://www.w3.org/1999/02/22-rdf-syntax-ns#Property;label;A human-readable name for the subject.
http://www.w3.org/2000/01/rdf-schema#isDefinedBy;http://www.w3.org/1999/02/22-rdf-syntax-ns#Property;isDefinedBy;The defininition of the subject resource.
http://www.w3.org/2000/01/rdf-schema#seeAlso;http://www.w3.org/1999/02/22-rdf-syntax-ns#Property;seeAlso;Further information about the subject resource.
http://www.w3.org/2000/01/rdf-schema#member;http://www.w3.org/1999/02/22-rdf-syntax-ns#Property;member;A member of the subject resource.
http://www.w3.org/2000/01/rdf-schema#Class;http://www.w3.org/2000/01/rdf-schema#Resource;Class;The class of classes.
http://www.w3.org/2000/01/rdf-schema#Resource;http://www.w3.org/2000/01/rdf-schema#Resource;Resource;The class resource, everything.
http://www.w3.org/2000/01/rdf-schema#Literal;http://www.w3.org/2000/01/rdf-schema#Resource;Literal;The class of literal values, eg. textual strings and integers.
http://www.w3.org/2000/01/rdf-schema#Container;http://www.w3.org/2000/01/rdf-schema#Resource;Container;The class of RDF containers.
http://www.w3.org/2000/01/rdf-schema#ContainerMembershipProperty;http://www.w3.org/2000/01/rdf-schema#Resource;ContainerMembershipProperty;"The class of container membership properties, rdf:_1, rdf:_2, ...,
                    all of which are sub-properties of 'member'."
http://www.w3.org/2000/01/rdf-schema#Datatype;http://www.w3.org/2000/01/rdf-schema#Resource;Datatype;The class of RDF datatypes.
