construct,type,name,description
http://www.w3.org/ns/shacl#Shape,http://www.w3.org/2000/01/rdf-schema#Class,Shape,A shape is a collection of constraints that may be targeted for certain nodes.
http://www.w3.org/ns/shacl#NodeShape,http://www.w3.org/2000/01/rdf-schema#Class,Node shape,A node shape is a shape that specifies constraint that need to be met with respect to focus nodes.
http://www.w3.org/ns/shacl#PropertyShape,http://www.w3.org/2000/01/rdf-schema#Class,Property shape,A property shape is a shape that specifies constraints on the values of a focus node for a given property or path.
http://www.w3.org/ns/shacl#Severity,http://www.w3.org/2000/01/rdf-schema#Class,Severity,"The class of validation result severity levels, including violation and warning levels."
http://www.w3.org/ns/shacl#NodeKind,http://www.w3.org/2000/01/rdf-schema#Class,Node kind,"The class of all node kinds, including sh:BlankNode, sh:IRI, sh:Literal or the combinations of these: sh:BlankNodeOrIRI, sh:BlankNodeOrLiteral, sh:IRIOrLiteral."
http://www.w3.org/ns/shacl#ValidationReport,http://www.w3.org/2000/01/rdf-schema#Class,Validation report,The class of SHACL validation reports.
http://www.w3.org/ns/shacl#ValidationResult,http://www.w3.org/2000/01/rdf-schema#Class,Validation result,The class of validation results.
http://www.w3.org/ns/shacl#AbstractResult,http://www.w3.org/2000/01/rdf-schema#Class,Abstract result,"The base class of validation results, typically not instantiated directly."
http://www.w3.org/ns/shacl#ConstraintComponent,http://www.w3.org/2000/01/rdf-schema#Class,Constraint component,The class of constraint components.
http://www.w3.org/ns/shacl#Parameterizable,http://www.w3.org/2000/01/rdf-schema#Class,Parameterizable,"Superclass of components that can take parameters, especially functions and constraint components."
http://www.w3.org/ns/shacl#Parameter,http://www.w3.org/2000/01/rdf-schema#Class,Parameter,"The class of parameter declarations, consisting of a path predicate and (possibly) information about allowed value type, cardinality and other characteristics."
http://www.w3.org/ns/shacl#Validator,http://www.w3.org/2000/01/rdf-schema#Class,Validator,"The class of validators, which provide instructions on how to process a constraint definition. This class serves as base class for the SPARQL-based validators and other possible implementations."
http://www.w3.org/ns/shacl#SPARQLAskValidator,http://www.w3.org/2000/01/rdf-schema#Class,SPARQL ASK validator,The class of validators based on SPARQL ASK queries. The queries are evaluated for each value node and are supposed to return true if the given node conforms.
http://www.w3.org/ns/shacl#SPARQLAskExecutable,http://www.w3.org/2000/01/rdf-schema#Class,SPARQL ASK executable,The class of SPARQL executables that are based on an ASK query.
http://www.w3.org/ns/shacl#SPARQLSelectValidator,http://www.w3.org/2000/01/rdf-schema#Class,SPARQL SELECT validator,The class of validators based on SPARQL SELECT queries. The queries are evaluated for each focus node and are supposed to produce bindings for all focus nodes that do not conform.
http://www.w3.org/ns/shacl#SPARQLSelectExecutable,http://www.w3.org/2000/01/rdf-schema#Class,SPARQL SELECT executable,The class of SPARQL executables based on a SELECT query.
http://www.w3.org/ns/shacl#SPARQLExecutable,http://www.w3.org/2000/01/rdf-schema#Class,SPARQL executable,The class of resources that encapsulate a SPARQL query.
http://www.w3.org/ns/shacl#SPARQLConstructExecutable,http://www.w3.org/2000/01/rdf-schema#Class,SPARQL CONSTRUCT executable,The class of SPARQL executables that are based on a CONSTRUCT query.
http://www.w3.org/ns/shacl#SPARQLUpdateExecutable,http://www.w3.org/2000/01/rdf-schema#Class,SPARQL UPDATE executable,The class of SPARQL executables based on a SPARQL UPDATE.
http://www.w3.org/ns/shacl#PrefixDeclaration,http://www.w3.org/2000/01/rdf-schema#Class,Prefix declaration,"The class of prefix declarations, consisting of pairs of a prefix with a namespace."
http://www.w3.org/ns/shacl#SPARQLConstraint,http://www.w3.org/2000/01/rdf-schema#Class,SPARQL constraint,The class of constraints based on SPARQL SELECT queries.
http://www.w3.org/ns/shacl#PropertyGroup,http://www.w3.org/2000/01/rdf-schema#Class,Property group,Instances of this class represent groups of property shapes that belong together.
http://www.w3.org/ns/shacl#Target,http://www.w3.org/2000/01/rdf-schema#Class,Target,The base class of targets such as those based on SPARQL queries.
http://www.w3.org/ns/shacl#TargetType,http://www.w3.org/2000/01/rdf-schema#Class,Target type,The (meta) class for parameterizable targets.	Instances of this are instantiated as values of the sh:target property.
http://www.w3.org/ns/shacl#SPARQLTarget,http://www.w3.org/2000/01/rdf-schema#Class,SPARQL target,The class of targets that are based on SPARQL queries.
http://www.w3.org/ns/shacl#SPARQLTargetType,http://www.w3.org/2000/01/rdf-schema#Class,SPARQL target type,The (meta) class for parameterizable targets that are based on SPARQL queries.
http://www.w3.org/ns/shacl#Function,http://www.w3.org/2000/01/rdf-schema#Class,Function,The class of SHACL functions.
http://www.w3.org/ns/shacl#SPARQLFunction,http://www.w3.org/2000/01/rdf-schema#Class,SPARQL function,A function backed by a SPARQL query - either ASK or SELECT.
http://www.w3.org/ns/shacl#ResultAnnotation,http://www.w3.org/2000/01/rdf-schema#Class,Result annotation,"A class of result annotations, which define the rules to derive the values of a given annotation property as extra values for a validation result."
http://www.w3.org/ns/shacl#Rule,http://www.w3.org/2000/01/rdf-schema#Class,Rule,The class of SHACL rules. Never instantiated directly.
http://www.w3.org/ns/shacl#TripleRule,http://www.w3.org/2000/01/rdf-schema#Class,"A rule based on triple (subject, predicate, object) pattern.",
http://www.w3.org/ns/shacl#SPARQLRule,http://www.w3.org/2000/01/rdf-schema#Class,SPARQL CONSTRUCT rule,The class of SHACL rules based on SPARQL CONSTRUCT queries.
http://www.w3.org/ns/shacl#JSExecutable,http://www.w3.org/2000/01/rdf-schema#Class,JavaScript executable,Abstract base class of resources that declare an executable JavaScript.
http://www.w3.org/ns/shacl#JSTarget,http://www.w3.org/2000/01/rdf-schema#Class,JavaScript target,The class of targets that are based on JavaScript functions.
http://www.w3.org/ns/shacl#JSTargetType,http://www.w3.org/2000/01/rdf-schema#Class,JavaScript target type,The (meta) class for parameterizable targets that are based on JavaScript functions.
http://www.w3.org/ns/shacl#JSConstraint,http://www.w3.org/2000/01/rdf-schema#Class,JavaScript-based constraint,The class of constraints backed by a JavaScript function.
http://www.w3.org/ns/shacl#JSLibrary,http://www.w3.org/2000/01/rdf-schema#Class,JavaScript library,"Represents a JavaScript library, typically identified by one or more URLs of files to include."
http://www.w3.org/ns/shacl#JSFunction,http://www.w3.org/2000/01/rdf-schema#Class,JavaScript function,The class of SHACL functions that execute a JavaScript function when called.
http://www.w3.org/ns/shacl#JSRule,http://www.w3.org/2000/01/rdf-schema#Class,JavaScript rule,The class of SHACL rules expressed using JavaScript.
http://www.w3.org/ns/shacl#JSValidator,http://www.w3.org/2000/01/rdf-schema#Class,JavaScript validator,A SHACL validator based on JavaScript. This can be used to declare SHACL constraint components that perform JavaScript-based validation when used.
http://www.w3.org/ns/shacl#prefix,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,prefix,The prefix of a prefix declaration.
http://www.w3.org/ns/shacl#namespace,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,namespace,The namespace associated with a prefix in a prefix declaration.
http://www.w3.org/ns/shacl#declare,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,declare,Links a resource with its namespace prefix declarations.
http://www.w3.org/ns/shacl#suggestedShapesGraph,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,suggested shapes graph,Suggested shapes graphs for this ontology. The values of this property may be used in the absence of specific sh:shapesGraph statements.
http://www.w3.org/ns/shacl#deactivated,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,deactivated,If set to true then all nodes conform to this.
http://www.w3.org/ns/shacl#targetClass,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,target class,"Links a shape to a class, indicating that all instances of the class must conform to the shape."
http://www.w3.org/ns/shacl#targetNode,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,target node,"Links a shape to individual nodes, indicating that these nodes must conform to the shape."
http://www.w3.org/ns/shacl#targetObjectsOf,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,target objects of,"Links a shape to a property, indicating that all all objects of triples that have the given property as their predicate must conform to the shape."
http://www.w3.org/ns/shacl#targetSubjectsOf,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,target subjects of,"Links a shape to a property, indicating that all subjects of triples that have the given property as their predicate must conform to the shape."
http://www.w3.org/ns/shacl#message,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,message,A human-readable message (possibly with placeholders for variables) explaining the cause of the result.
http://www.w3.org/ns/shacl#severity,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,severity,Defines the severity that validation results produced by a shape must have. Defaults to sh:Violation.
http://www.w3.org/ns/shacl#conforms,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,conforms,"True if the validation did not produce any validation results, and false otherwise."
http://www.w3.org/ns/shacl#result,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,result,The validation results contained in a validation report.
http://www.w3.org/ns/shacl#shapesGraphWellFormed,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,shapes graph well-formed,If true then the validation engine was certain that the shapes graph has passed all SHACL syntax requirements during the validation process.
http://www.w3.org/ns/shacl#detail,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,detail,"Links a result with other results that provide more details, for example to describe violations against nested shapes."
http://www.w3.org/ns/shacl#focusNode,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,focus node,The focus node that was validated when the result was produced.
http://www.w3.org/ns/shacl#resultMessage,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,result message,Human-readable messages explaining the cause of the result.
http://www.w3.org/ns/shacl#resultPath,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,result path,"The path of a validation result, based on the path of the validated property shape."
http://www.w3.org/ns/shacl#resultSeverity,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,result severity,"The severity of the result, e.g. warning."
http://www.w3.org/ns/shacl#sourceConstraint,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,source constraint,The constraint that was validated when the result was produced.
http://www.w3.org/ns/shacl#sourceShape,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,source shape,The shape that is was validated when the result was produced.
http://www.w3.org/ns/shacl#sourceConstraintComponent,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,source constraint component,The constraint component that is the source of the result.
http://www.w3.org/ns/shacl#value,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,value,An RDF node that has caused the result.
http://www.w3.org/ns/shacl#shapesGraph,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,shapes graph,Shapes graphs that should be used when validating this data graph.
http://www.w3.org/ns/shacl#entailment,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,entailment,An entailment regime that indicates what kind of inferencing is required by a shapes graph.
http://www.w3.org/ns/shacl#path,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,path,Specifies the property path of a property shape.
http://www.w3.org/ns/shacl#inversePath,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,inverse path,The (single) value of this property represents an inverse path (object to subject).
http://www.w3.org/ns/shacl#alternativePath,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,alternative path,"The (single) value of this property must be a list of path elements, representing the elements of alternative paths."
http://www.w3.org/ns/shacl#zeroOrMorePath,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,zero or more path,The (single) value of this property represents a path that is matched zero or more times.
http://www.w3.org/ns/shacl#oneOrMorePath,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,one or more path,The (single) value of this property represents a path that is matched one or more times.
http://www.w3.org/ns/shacl#zeroOrOnePath,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,zero or one path,The (single) value of this property represents a path that is matched zero or one times.
http://www.w3.org/ns/shacl#parameter,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,parameter,The parameters of a function or constraint component.
http://www.w3.org/ns/shacl#labelTemplate,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,label template,Outlines how human-readable labels of instances of the associated Parameterizable shall be produced. The values can contain {?paramName} as placeholders for the actual values of the given parameter.
http://www.w3.org/ns/shacl#optional,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,optional,Indicates whether a parameter is optional.
http://www.w3.org/ns/shacl#validator,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,validator,The validator(s) used to evaluate constraints of either node or property shapes.
http://www.w3.org/ns/shacl#nodeValidator,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,shape validator,The validator(s) used to evaluate a constraint in the context of a node shape.
http://www.w3.org/ns/shacl#propertyValidator,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,property validator,The validator(s) used to evaluate a constraint in the context of a property shape.
http://www.w3.org/ns/shacl#and,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,and,RDF list of shapes to validate the value nodes against.
http://www.w3.org/ns/shacl#class,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,class,The type that all value nodes must have.
http://www.w3.org/ns/shacl#nodeKind,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,node kind,Specifies the node kind (e.g. IRI or literal) each value node.
http://www.w3.org/ns/shacl#closed,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,closed,If set to true then the shape is closed.
http://www.w3.org/ns/shacl#datatype,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,datatype,Specifies an RDF datatype that all value nodes must have.
http://www.w3.org/ns/shacl#ignoredProperties,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,ignored properties,An optional RDF list of properties that are also permitted in addition to those explicitly enumerated via sh:property/sh:path.
http://www.w3.org/ns/shacl#maxCount,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,max count,Specifies the maximum number of values in the set of value nodes.
http://www.w3.org/ns/shacl#disjoint,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,disjoint,Specifies a property where the set of values must be disjoint with the value nodes.
http://www.w3.org/ns/shacl#equals,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,equals,Specifies a property that must have the same values as the value nodes.
http://www.w3.org/ns/shacl#hasValue,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,has value,Specifies a value that must be among the value nodes.
http://www.w3.org/ns/shacl#in,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,in,Specifies a list of allowed values so that each value node must be among the members of the given list.
http://www.w3.org/ns/shacl#languageIn,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,language in,Specifies a list of language tags that all value nodes must have.
http://www.w3.org/ns/shacl#lessThan,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,less than,Specifies a property that must have smaller values than the value nodes.
http://www.w3.org/ns/shacl#lessThanOrEquals,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,less than or equals,Specifies a property that must have smaller or equal values than the value nodes.
http://www.w3.org/ns/shacl#maxExclusive,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,max exclusive,Specifies the maximum exclusive value of each value node.
http://www.w3.org/ns/shacl#maxInclusive,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,max inclusive,Specifies the maximum inclusive value of each value node.
http://www.w3.org/ns/shacl#maxLength,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,max length,Specifies the maximum string length of each value node.
http://www.w3.org/ns/shacl#minCount,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,min count,Specifies the minimum number of values in the set of value nodes.
http://www.w3.org/ns/shacl#minExclusive,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,min exclusive,Specifies the minimum exclusive value of each value node.
http://www.w3.org/ns/shacl#minInclusive,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,min inclusive,Specifies the minimum inclusive value of each value node.
http://www.w3.org/ns/shacl#minLength,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,min length,Specifies the minimum string length of each value node.
http://www.w3.org/ns/shacl#node,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,node,Specifies the node shape that all value nodes must conform to.
http://www.w3.org/ns/shacl#not,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not,Specifies a shape that the value nodes must not conform to.
http://www.w3.org/ns/shacl#or,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,or,Specifies a list of shapes so that the value nodes must conform to at least one of the shapes.
http://www.w3.org/ns/shacl#pattern,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,pattern,Specifies a regular expression pattern that the string representations of the value nodes must match.
